x t90_mean t90_std
1 18.6124 2.0406
2 17.7571 1.77198
3 17.7571 1.77198
4 17.7571 1.77198
5 17.7571 1.77198
6 17.3594 1.99986
7 17.3594 1.99986
8 17.3594 1.99986
9 17.3594 1.99986
10 16.898 2.18248
11 16.898 2.18248
12 16.898 2.18248
13 16.898 2.18248
14 16.898 2.18248
15 16.898 2.18248
16 16.898 2.18248
17 16.898 2.18248
18 16.898 2.18248
19 16.898 2.18248
20 16.898 2.18248
